"","monitoring_period","date","site","plot_id","treatment","replicate_number","tag_color","source_population","parent_number","observer","number_gravels_remaining","number_gravels_with_kelp","length_mm","holdfast_diameter_mm","urchins","notes","days_old","total_length_cm","parent_temp_days","site_temp_days","site_plot_id","site_replicate","transplant"
"11","first",2023-04-04,"warm","2C1","2C","1","blue","cool","two","Clay Steell",20,12,48,NA,0,"","55",4.8,"two_cool_55","warm_cool_55","warm_2C1","warm_1","warm_cool"
"12","first",2023-04-04,"warm","2C1","2C","1","blue","cool","two","Clay Steell",20,12,53,NA,0,"","55",5.3,"two_cool_55","warm_cool_55","warm_2C1","warm_1","warm_cool"
"13","first",2023-04-04,"warm","2C1","2C","1","blue","cool","two","Clay Steell",20,12,63,NA,0,"","55",6.3,"two_cool_55","warm_cool_55","warm_2C1","warm_1","warm_cool"
"14","first",2023-04-04,"warm","2C1","2C","1","blue","cool","two","Clay Steell",20,12,83,NA,0,"","55",8.3,"two_cool_55","warm_cool_55","warm_2C1","warm_1","warm_cool"
"15","first",2023-04-04,"warm","2C1","2C","1","blue","cool","two","Clay Steell",20,12,114,NA,0,"","55",11.4,"two_cool_55","warm_cool_55","warm_2C1","warm_1","warm_cool"
"16","first",2023-04-04,"warm","2W1","2W","1","orange","warm","two","Lauren Dykman",20,15,55,NA,0,"overshadowed by large kelp frond","55",5.5,"two_warm_55","warm_warm_55","warm_2W1","warm_1","warm_warm"
"17","first",2023-04-04,"warm","2W1","2W","1","orange","warm","two","Lauren Dykman",20,15,65,NA,0,"overshadowed by large kelp frond","55",6.5,"two_warm_55","warm_warm_55","warm_2W1","warm_1","warm_warm"
"18","first",2023-04-04,"warm","2W1","2W","1","orange","warm","two","Lauren Dykman",20,15,77,NA,0,"overshadowed by large kelp frond","55",7.7,"two_warm_55","warm_warm_55","warm_2W1","warm_1","warm_warm"
"19","first",2023-04-04,"warm","2W1","2W","1","orange","warm","two","Lauren Dykman",20,15,80,NA,0,"overshadowed by large kelp frond","55",8,"two_warm_55","warm_warm_55","warm_2W1","warm_1","warm_warm"
"20","first",2023-04-04,"warm","2W1","2W","1","orange","warm","two","Lauren Dykman",20,15,100,NA,0,"overshadowed by large kelp frond","55",10,"two_warm_55","warm_warm_55","warm_2W1","warm_1","warm_warm"
"22","first",2023-04-04,"warm","10C2","10C","2","green","cool","ten","Clay Steell",20,14,13,NA,0,"","55",1.3,"ten_cool_55","warm_cool_55","warm_10C2","warm_2","warm_cool"
"23","first",2023-04-04,"warm","10C2","10C","2","green","cool","ten","Clay Steell",20,14,27,NA,0,"","55",2.7,"ten_cool_55","warm_cool_55","warm_10C2","warm_2","warm_cool"
"24","first",2023-04-04,"warm","10C2","10C","2","green","cool","ten","Clay Steell",20,14,28,NA,0,"","55",2.8,"ten_cool_55","warm_cool_55","warm_10C2","warm_2","warm_cool"
"25","first",2023-04-04,"warm","10C2","10C","2","green","cool","ten","Clay Steell",20,14,56,NA,0,"","55",5.6,"ten_cool_55","warm_cool_55","warm_10C2","warm_2","warm_cool"
"26","first",2023-04-04,"warm","10C2","10C","2","green","cool","ten","Clay Steell",20,14,57,NA,0,"","55",5.7,"ten_cool_55","warm_cool_55","warm_10C2","warm_2","warm_cool"
"27","first",2023-04-04,"warm","10W2","10W","2","red","warm","ten","Clay Steell",19,19,24,NA,0,"Lauren counted and Clay measured because were running out of time and got to this one last.","55",2.4,"ten_warm_55","warm_warm_55","warm_10W2","warm_2","warm_warm"
"28","first",2023-04-04,"warm","10W2","10W","2","red","warm","ten","Clay Steell",19,19,31,NA,0,"Lauren counted and Clay measured because were running out of time and got to this one last.","55",3.1,"ten_warm_55","warm_warm_55","warm_10W2","warm_2","warm_warm"
"29","first",2023-04-04,"warm","10W2","10W","2","red","warm","ten","Clay Steell",19,19,44,NA,0,"Lauren counted and Clay measured because were running out of time and got to this one last.","55",4.4,"ten_warm_55","warm_warm_55","warm_10W2","warm_2","warm_warm"
"30","first",2023-04-04,"warm","10W2","10W","2","red","warm","ten","Clay Steell",19,19,57,NA,0,"Lauren counted and Clay measured because were running out of time and got to this one last.","55",5.7,"ten_warm_55","warm_warm_55","warm_10W2","warm_2","warm_warm"
"31","first",2023-04-04,"warm","10W2","10W","2","red","warm","ten","Clay Steell",19,19,85,NA,0,"Lauren counted and Clay measured because were running out of time and got to this one last.","55",8.5,"ten_warm_55","warm_warm_55","warm_10W2","warm_2","warm_warm"
"32","first",2023-04-04,"warm","2C2","2C","2","blue","cool","two","Siobhan Gray",19,17,44,NA,0,"0 bat stars","55",4.4,"two_cool_55","warm_cool_55","warm_2C2","warm_2","warm_cool"
"33","first",2023-04-04,"warm","2C2","2C","2","blue","cool","two","Siobhan Gray",19,17,47,NA,0,"0 bat stars","55",4.7,"two_cool_55","warm_cool_55","warm_2C2","warm_2","warm_cool"
"34","first",2023-04-04,"warm","2C2","2C","2","blue","cool","two","Siobhan Gray",19,17,48,NA,0,"0 bat stars","55",4.8,"two_cool_55","warm_cool_55","warm_2C2","warm_2","warm_cool"
"35","first",2023-04-04,"warm","2C2","2C","2","blue","cool","two","Siobhan Gray",19,17,51,NA,0,"0 bat stars","55",5.1,"two_cool_55","warm_cool_55","warm_2C2","warm_2","warm_cool"
"36","first",2023-04-04,"warm","2C2","2C","2","blue","cool","two","Siobhan Gray",19,17,57,NA,0,"0 bat stars","55",5.7,"two_cool_55","warm_cool_55","warm_2C2","warm_2","warm_cool"
"37","first",2023-04-04,"warm","2W2","2W","2","orange","warm","two","Kristina Tietjen",18,18,39,NA,0,"","55",3.9,"two_warm_55","warm_warm_55","warm_2W2","warm_2","warm_warm"
"38","first",2023-04-04,"warm","2W2","2W","2","orange","warm","two","Kristina Tietjen",18,18,45,NA,0,"","55",4.5,"two_warm_55","warm_warm_55","warm_2W2","warm_2","warm_warm"
"39","first",2023-04-04,"warm","2W2","2W","2","orange","warm","two","Kristina Tietjen",18,18,46,NA,0,"","55",4.6,"two_warm_55","warm_warm_55","warm_2W2","warm_2","warm_warm"
"40","first",2023-04-04,"warm","2W2","2W","2","orange","warm","two","Kristina Tietjen",18,18,57,NA,0,"","55",5.7,"two_warm_55","warm_warm_55","warm_2W2","warm_2","warm_warm"
"41","first",2023-04-04,"warm","2W2","2W","2","orange","warm","two","Kristina Tietjen",18,18,66,NA,0,"","55",6.6,"two_warm_55","warm_warm_55","warm_2W2","warm_2","warm_warm"
"43","first",2023-04-04,"warm","10C3","10C","3","green","cool","ten","Siobhan Gray",17,4,14,NA,0,"2 bat stars and 2 Pycnopodia (5 cm)","55",1.4,"ten_cool_55","warm_cool_55","warm_10C3","warm_3","warm_cool"
"44","first",2023-04-04,"warm","10C3","10C","3","green","cool","ten","Siobhan Gray",17,4,17,NA,0,"2 bat stars and 2 Pycnopodia (5 cm)","55",1.7,"ten_cool_55","warm_cool_55","warm_10C3","warm_3","warm_cool"
"45","first",2023-04-04,"warm","10C3","10C","3","green","cool","ten","Siobhan Gray",17,4,31,NA,0,"2 bat stars and 2 Pycnopodia (5 cm)","55",3.1,"ten_cool_55","warm_cool_55","warm_10C3","warm_3","warm_cool"
"46","first",2023-04-04,"warm","10C3","10C","3","green","cool","ten","Siobhan Gray",17,4,42,NA,0,"2 bat stars and 2 Pycnopodia (5 cm)","55",4.2,"ten_cool_55","warm_cool_55","warm_10C3","warm_3","warm_cool"
"47","first",2023-04-04,"warm","10C3","10C","3","green","cool","ten","Siobhan Gray",17,4,NA,NA,0,"2 bat stars and 2 Pycnopodia (5 cm)","55",NA,"ten_cool_55","warm_cool_55","warm_10C3","warm_3","warm_cool"
"48","first",2023-04-04,"warm","10W3","10W","3","red","warm","ten","Kristina Tietjen",18,6,2,NA,0,"","55",0.2,"ten_warm_55","warm_warm_55","warm_10W3","warm_3","warm_warm"
"49","first",2023-04-04,"warm","10W3","10W","3","red","warm","ten","Kristina Tietjen",18,6,14,NA,0,"","55",1.4,"ten_warm_55","warm_warm_55","warm_10W3","warm_3","warm_warm"
"50","first",2023-04-04,"warm","10W3","10W","3","red","warm","ten","Kristina Tietjen",18,6,19,NA,0,"","55",1.9,"ten_warm_55","warm_warm_55","warm_10W3","warm_3","warm_warm"
"51","first",2023-04-04,"warm","10W3","10W","3","red","warm","ten","Kristina Tietjen",18,6,28,NA,0,"","55",2.8,"ten_warm_55","warm_warm_55","warm_10W3","warm_3","warm_warm"
"52","first",2023-04-04,"warm","10W3","10W","3","red","warm","ten","Kristina Tietjen",18,6,28,NA,0,"","55",2.8,"ten_warm_55","warm_warm_55","warm_10W3","warm_3","warm_warm"
"53","first",2023-04-04,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",14,8,18,NA,0,"3 showed signs of dying and kelp fronds covering plot","55",1.8,"two_cool_55","warm_cool_55","warm_2C3","warm_3","warm_cool"
"54","first",2023-04-04,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",14,8,25,NA,0,"3 showed signs of dying and kelp fronds covering plot","55",2.5,"two_cool_55","warm_cool_55","warm_2C3","warm_3","warm_cool"
"55","first",2023-04-04,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",14,8,35,NA,0,"3 showed signs of dying and kelp fronds covering plot","55",3.5,"two_cool_55","warm_cool_55","warm_2C3","warm_3","warm_cool"
"56","first",2023-04-04,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",14,8,45,NA,0,"3 showed signs of dying and kelp fronds covering plot","55",4.5,"two_cool_55","warm_cool_55","warm_2C3","warm_3","warm_cool"
"57","first",2023-04-04,"warm","2C3","2C","3","blue","cool","two","Lauren Dykman",14,8,75,NA,0,"3 showed signs of dying and kelp fronds covering plot","55",7.5,"two_cool_55","warm_cool_55","warm_2C3","warm_3","warm_cool"
"58","first",2023-04-04,"warm","2W3","2W","3","orange","warm","two","Clay Steell",17,4,7,NA,0,"macro and agarum smothering","55",0.7,"two_warm_55","warm_warm_55","warm_2W3","warm_3","warm_warm"
"59","first",2023-04-04,"warm","2W3","2W","3","orange","warm","two","Clay Steell",17,4,17,NA,0,"macro and agarum smothering","55",1.7,"two_warm_55","warm_warm_55","warm_2W3","warm_3","warm_warm"
"60","first",2023-04-04,"warm","2W3","2W","3","orange","warm","two","Clay Steell",17,4,18,NA,0,"macro and agarum smothering","55",1.8,"two_warm_55","warm_warm_55","warm_2W3","warm_3","warm_warm"
"61","first",2023-04-04,"warm","2W3","2W","3","orange","warm","two","Clay Steell",17,4,24,NA,0,"macro and agarum smothering","55",2.4,"two_warm_55","warm_warm_55","warm_2W3","warm_3","warm_warm"
"62","first",2023-04-04,"warm","2W3","2W","3","orange","warm","two","Clay Steell",17,4,NA,NA,0,"macro and agarum smothering","55",NA,"two_warm_55","warm_warm_55","warm_2W3","warm_3","warm_warm"
"64","first",2023-04-04,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",15,8,15,NA,0,"lots of brown algae growing over and 1 Pycnopodia","55",1.5,"ten_cool_55","warm_cool_55","warm_10C4","warm_4","warm_cool"
"65","first",2023-04-04,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",15,8,25,NA,0,"lots of brown algae growing over and 1 Pycnopodia","55",2.5,"ten_cool_55","warm_cool_55","warm_10C4","warm_4","warm_cool"
"66","first",2023-04-04,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",15,8,35,NA,0,"lots of brown algae growing over and 1 Pycnopodia","55",3.5,"ten_cool_55","warm_cool_55","warm_10C4","warm_4","warm_cool"
"67","first",2023-04-04,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",15,8,43,NA,0,"lots of brown algae growing over and 1 Pycnopodia","55",4.3,"ten_cool_55","warm_cool_55","warm_10C4","warm_4","warm_cool"
"68","first",2023-04-04,"warm","10C4","10C","4","green","cool","ten","Lauren Dykman",15,8,70,NA,0,"lots of brown algae growing over and 1 Pycnopodia","55",7,"ten_cool_55","warm_cool_55","warm_10C4","warm_4","warm_cool"
"69","first",2023-04-04,"warm","10W4","10W","4","red","warm","ten","Clay Steell",19,11,43,NA,0,"1 out of plot with no blades","55",4.3,"ten_warm_55","warm_warm_55","warm_10W4","warm_4","warm_warm"
"70","first",2023-04-04,"warm","10W4","10W","4","red","warm","ten","Clay Steell",19,11,46,NA,0,"1 out of plot with no blades","55",4.6,"ten_warm_55","warm_warm_55","warm_10W4","warm_4","warm_warm"
"71","first",2023-04-04,"warm","10W4","10W","4","red","warm","ten","Clay Steell",19,11,47,NA,0,"1 out of plot with no blades","55",4.7,"ten_warm_55","warm_warm_55","warm_10W4","warm_4","warm_warm"
"72","first",2023-04-04,"warm","10W4","10W","4","red","warm","ten","Clay Steell",19,11,66,NA,0,"1 out of plot with no blades","55",6.6,"ten_warm_55","warm_warm_55","warm_10W4","warm_4","warm_warm"
"73","first",2023-04-04,"warm","10W4","10W","4","red","warm","ten","Clay Steell",19,11,75,NA,0,"1 out of plot with no blades","55",7.5,"ten_warm_55","warm_warm_55","warm_10W4","warm_4","warm_warm"
"74","first",2023-04-04,"warm","2C4","2C","4","blue","cool","two","Kristina Tietjen",15,11,15,NA,0,"lots of kelp over plot","55",1.5,"two_cool_55","warm_cool_55","warm_2C4","warm_4","warm_cool"
"75","first",2023-04-04,"warm","2C4","2C","4","blue","cool","two","Kristina Tietjen",15,11,29,NA,0,"lots of kelp over plot","55",2.9,"two_cool_55","warm_cool_55","warm_2C4","warm_4","warm_cool"
"76","first",2023-04-04,"warm","2C4","2C","4","blue","cool","two","Kristina Tietjen",15,11,30,NA,0,"lots of kelp over plot","55",3,"two_cool_55","warm_cool_55","warm_2C4","warm_4","warm_cool"
"77","first",2023-04-04,"warm","2C4","2C","4","blue","cool","two","Kristina Tietjen",15,11,31,NA,0,"lots of kelp over plot","55",3.1,"two_cool_55","warm_cool_55","warm_2C4","warm_4","warm_cool"
"78","first",2023-04-04,"warm","2C4","2C","4","blue","cool","two","Kristina Tietjen",15,11,34,NA,0,"lots of kelp over plot","55",3.4,"two_cool_55","warm_cool_55","warm_2C4","warm_4","warm_cool"
"79","first",2023-04-04,"warm","2W4","2W","4","orange","warm","two","Siobhan Gray",17,8,16,NA,0,"5 bat stars","55",1.6,"two_warm_55","warm_warm_55","warm_2W4","warm_4","warm_warm"
"80","first",2023-04-04,"warm","2W4","2W","4","orange","warm","two","Siobhan Gray",17,8,23,NA,0,"5 bat stars","55",2.3,"two_warm_55","warm_warm_55","warm_2W4","warm_4","warm_warm"
"81","first",2023-04-04,"warm","2W4","2W","4","orange","warm","two","Siobhan Gray",17,8,41,NA,0,"5 bat stars","55",4.1,"two_warm_55","warm_warm_55","warm_2W4","warm_4","warm_warm"
"82","first",2023-04-04,"warm","2W4","2W","4","orange","warm","two","Siobhan Gray",17,8,44,NA,0,"5 bat stars","55",4.4,"two_warm_55","warm_warm_55","warm_2W4","warm_4","warm_warm"
"83","first",2023-04-04,"warm","2W4","2W","4","orange","warm","two","Siobhan Gray",17,8,47,NA,0,"5 bat stars","55",4.7,"two_warm_55","warm_warm_55","warm_2W4","warm_4","warm_warm"
"85","first",2023-04-04,"warm","10C5","10C","5","green","cool","ten","Kristina Tietjen",16,8,8,NA,0,"","55",0.8,"ten_cool_55","warm_cool_55","warm_10C5","warm_5","warm_cool"
"86","first",2023-04-04,"warm","10C5","10C","5","green","cool","ten","Kristina Tietjen",16,8,9,NA,0,"","55",0.9,"ten_cool_55","warm_cool_55","warm_10C5","warm_5","warm_cool"
"87","first",2023-04-04,"warm","10C5","10C","5","green","cool","ten","Kristina Tietjen",16,8,24,NA,0,"","55",2.4,"ten_cool_55","warm_cool_55","warm_10C5","warm_5","warm_cool"
"88","first",2023-04-04,"warm","10C5","10C","5","green","cool","ten","Kristina Tietjen",16,8,26,NA,0,"","55",2.6,"ten_cool_55","warm_cool_55","warm_10C5","warm_5","warm_cool"
"89","first",2023-04-04,"warm","10C5","10C","5","green","cool","ten","Kristina Tietjen",16,8,100,NA,0,"kelp on rock being eaten by snail","55",10,"ten_cool_55","warm_cool_55","warm_10C5","warm_5","warm_cool"
"90","first",2023-04-04,"warm","10W5","10W","5","red","warm","ten","Siobhan Gray",18,2,11,NA,0,"1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel","55",1.1,"ten_warm_55","warm_warm_55","warm_10W5","warm_5","warm_warm"
"91","first",2023-04-04,"warm","10W5","10W","5","red","warm","ten","Siobhan Gray",18,2,24,NA,0,"1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel","55",2.4,"ten_warm_55","warm_warm_55","warm_10W5","warm_5","warm_warm"
"92","first",2023-04-04,"warm","10W5","10W","5","red","warm","ten","Siobhan Gray",18,2,NA,NA,0,"1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel","55",NA,"ten_warm_55","warm_warm_55","warm_10W5","warm_5","warm_warm"
"93","first",2023-04-04,"warm","10W5","10W","5","red","warm","ten","Siobhan Gray",18,2,NA,NA,0,"1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel","55",NA,"ten_warm_55","warm_warm_55","warm_10W5","warm_5","warm_warm"
"94","first",2023-04-04,"warm","10W5","10W","5","red","warm","ten","Siobhan Gray",18,2,NA,NA,0,"1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel","55",NA,"ten_warm_55","warm_warm_55","warm_10W5","warm_5","warm_warm"
"95","first",2023-04-04,"warm","2C5","2C","5","blue","cool","two","Clay Steell",20,8,26,NA,0,"","55",2.6,"two_cool_55","warm_cool_55","warm_2C5","warm_5","warm_cool"
"96","first",2023-04-04,"warm","2C5","2C","5","blue","cool","two","Clay Steell",20,8,58,NA,0,"","55",5.8,"two_cool_55","warm_cool_55","warm_2C5","warm_5","warm_cool"
"97","first",2023-04-04,"warm","2C5","2C","5","blue","cool","two","Clay Steell",20,8,73,NA,0,"","55",7.3,"two_cool_55","warm_cool_55","warm_2C5","warm_5","warm_cool"
"98","first",2023-04-04,"warm","2C5","2C","5","blue","cool","two","Clay Steell",20,8,74,NA,0,"","55",7.4,"two_cool_55","warm_cool_55","warm_2C5","warm_5","warm_cool"
"99","first",2023-04-04,"warm","2C5","2C","5","blue","cool","two","Clay Steell",20,8,96,NA,0,"","55",9.6,"two_cool_55","warm_cool_55","warm_2C5","warm_5","warm_cool"
"100","first",2023-04-04,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",19,4,16,NA,0,"","55",1.6,"two_warm_55","warm_warm_55","warm_2W5","warm_5","warm_warm"
"101","first",2023-04-04,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",19,4,24,NA,0,"","55",2.4,"two_warm_55","warm_warm_55","warm_2W5","warm_5","warm_warm"
"102","first",2023-04-04,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",19,4,40,NA,0,"","55",4,"two_warm_55","warm_warm_55","warm_2W5","warm_5","warm_warm"
"103","first",2023-04-04,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",19,4,50,NA,0,"","55",5,"two_warm_55","warm_warm_55","warm_2W5","warm_5","warm_warm"
"104","first",2023-04-04,"warm","2W5","2W","5","orange","warm","two","Lauren Dykman",19,4,NA,NA,0,"","55",NA,"two_warm_55","warm_warm_55","warm_2W5","warm_5","warm_warm"
"106","first",2023-04-04,"warm","10C6","10C","6","green","cool","ten","Clay Steell",17,7,35,NA,0,"large agarum","55",3.5,"ten_cool_55","warm_cool_55","warm_10C6","warm_6","warm_cool"
"107","first",2023-04-04,"warm","10C6","10C","6","green","cool","ten","Clay Steell",17,7,37,NA,0,"large agarum","55",3.7,"ten_cool_55","warm_cool_55","warm_10C6","warm_6","warm_cool"
"108","first",2023-04-04,"warm","10C6","10C","6","green","cool","ten","Clay Steell",17,7,40,NA,0,"large agarum","55",4,"ten_cool_55","warm_cool_55","warm_10C6","warm_6","warm_cool"
"109","first",2023-04-04,"warm","10C6","10C","6","green","cool","ten","Clay Steell",17,7,56,NA,0,"large agarum","55",5.6,"ten_cool_55","warm_cool_55","warm_10C6","warm_6","warm_cool"
"110","first",2023-04-04,"warm","10C6","10C","6","green","cool","ten","Clay Steell",17,7,59,NA,0,"large agarum","55",5.9,"ten_cool_55","warm_cool_55","warm_10C6","warm_6","warm_cool"
"111","first",2023-04-04,"warm","10W6","10W","6","red","warm","ten","Lauren Dykman",19,4,17,NA,0,"hardly enough to measure","55",1.7,"ten_warm_55","warm_warm_55","warm_10W6","warm_6","warm_warm"
"112","first",2023-04-04,"warm","10W6","10W","6","red","warm","ten","Lauren Dykman",19,4,35,NA,0,"hardly enough to measure","55",3.5,"ten_warm_55","warm_warm_55","warm_10W6","warm_6","warm_warm"
"113","first",2023-04-04,"warm","10W6","10W","6","red","warm","ten","Lauren Dykman",19,4,50,NA,0,"hardly enough to measure","55",5,"ten_warm_55","warm_warm_55","warm_10W6","warm_6","warm_warm"
"114","first",2023-04-04,"warm","10W6","10W","6","red","warm","ten","Lauren Dykman",19,4,60,NA,0,"hardly enough to measure; broken off at tip","55",6,"ten_warm_55","warm_warm_55","warm_10W6","warm_6","warm_warm"
"115","first",2023-04-04,"warm","10W6","10W","6","red","warm","ten","Lauren Dykman",19,4,NA,NA,0,"hardly enough to measure; measured and was 22mm but this kelp was dead and degraded and it broke off after measuring","55",NA,"ten_warm_55","warm_warm_55","warm_10W6","warm_6","warm_warm"
"116","first",2023-04-04,"warm","2C6","2C","6","blue","cool","two","Siobhan Gray",20,17,28,NA,0,"0 bat stars","55",2.8,"two_cool_55","warm_cool_55","warm_2C6","warm_6","warm_cool"
"117","first",2023-04-04,"warm","2C6","2C","6","blue","cool","two","Siobhan Gray",20,17,41,NA,0,"0 bat stars","55",4.1,"two_cool_55","warm_cool_55","warm_2C6","warm_6","warm_cool"
"118","first",2023-04-04,"warm","2C6","2C","6","blue","cool","two","Siobhan Gray",20,17,41,NA,0,"0 bat stars","55",4.1,"two_cool_55","warm_cool_55","warm_2C6","warm_6","warm_cool"
"119","first",2023-04-04,"warm","2C6","2C","6","blue","cool","two","Siobhan Gray",20,17,48,NA,0,"0 bat stars","55",4.8,"two_cool_55","warm_cool_55","warm_2C6","warm_6","warm_cool"
"120","first",2023-04-04,"warm","2C6","2C","6","blue","cool","two","Siobhan Gray",20,17,76,NA,0,"0 bat stars","55",7.6,"two_cool_55","warm_cool_55","warm_2C6","warm_6","warm_cool"
"121","first",2023-04-04,"warm","2W6","2W","6","orange","warm","two","Kristina Tietjen",17,6,13,NA,0,"","55",1.3,"two_warm_55","warm_warm_55","warm_2W6","warm_6","warm_warm"
"122","first",2023-04-04,"warm","2W6","2W","6","orange","warm","two","Kristina Tietjen",17,6,28,NA,0,"rock covered in diatoms","55",2.8,"two_warm_55","warm_warm_55","warm_2W6","warm_6","warm_warm"
"123","first",2023-04-04,"warm","2W6","2W","6","orange","warm","two","Kristina Tietjen",17,6,31,NA,0,"","55",3.1,"two_warm_55","warm_warm_55","warm_2W6","warm_6","warm_warm"
"124","first",2023-04-04,"warm","2W6","2W","6","orange","warm","two","Kristina Tietjen",17,6,32,NA,0,"","55",3.2,"two_warm_55","warm_warm_55","warm_2W6","warm_6","warm_warm"
"125","first",2023-04-04,"warm","2W6","2W","6","orange","warm","two","Kristina Tietjen",17,6,34,NA,0,"","55",3.4,"two_warm_55","warm_warm_55","warm_2W6","warm_6","warm_warm"
"127","first",2023-04-04,"warm","10C7","10C","7","green","cool","ten","Siobhan Gray",19,13,48,NA,0,"1 bat star","55",4.8,"ten_cool_55","warm_cool_55","warm_10C7","warm_7","warm_cool"
"128","first",2023-04-04,"warm","10C7","10C","7","green","cool","ten","Siobhan Gray",19,13,52,NA,0,"1 bat star","55",5.2,"ten_cool_55","warm_cool_55","warm_10C7","warm_7","warm_cool"
"129","first",2023-04-04,"warm","10C7","10C","7","green","cool","ten","Siobhan Gray",19,13,62,NA,0,"1 bat star","55",6.2,"ten_cool_55","warm_cool_55","warm_10C7","warm_7","warm_cool"
"130","first",2023-04-04,"warm","10C7","10C","7","green","cool","ten","Siobhan Gray",19,13,66,NA,0,"1 bat star","55",6.6,"ten_cool_55","warm_cool_55","warm_10C7","warm_7","warm_cool"
"131","first",2023-04-04,"warm","10C7","10C","7","green","cool","ten","Siobhan Gray",19,13,71,NA,0,"1 bat star","55",7.1,"ten_cool_55","warm_cool_55","warm_10C7","warm_7","warm_cool"
"132","first",2023-04-04,"warm","10W7","10W","7","red","warm","ten","Kristina Tietjen",20,19,16,NA,0,"bat star","55",1.6,"ten_warm_55","warm_warm_55","warm_10W7","warm_7","warm_warm"
"133","first",2023-04-04,"warm","10W7","10W","7","red","warm","ten","Kristina Tietjen",20,19,29,NA,0,"bat star","55",2.9,"ten_warm_55","warm_warm_55","warm_10W7","warm_7","warm_warm"
"134","first",2023-04-04,"warm","10W7","10W","7","red","warm","ten","Kristina Tietjen",20,19,32,NA,0,"bat star","55",3.2,"ten_warm_55","warm_warm_55","warm_10W7","warm_7","warm_warm"
"135","first",2023-04-04,"warm","10W7","10W","7","red","warm","ten","Kristina Tietjen",20,19,32,NA,0,"bat star","55",3.2,"ten_warm_55","warm_warm_55","warm_10W7","warm_7","warm_warm"
"136","first",2023-04-04,"warm","10W7","10W","7","red","warm","ten","Kristina Tietjen",20,19,49,NA,0,"bat star","55",4.9,"ten_warm_55","warm_warm_55","warm_10W7","warm_7","warm_warm"
