monitoring_period,date,site,plot_id,treatment,replicate_number,tag_color,source_population,parent_number,observer,number_gravels_remaining,number_gravels_with_kelp,length_mm,holdfast_diameter_mm,urchins,notes
first,2023-04-04,Dixon,2W1,2W,1,orange,warm,two,Lauren Dykman,20,15,77,NA,0,overshadowed by large kelp frond
first,2023-04-04,Dixon,2W1,2W,1,orange,warm,two,Lauren Dykman,20,15,80,NA,0,overshadowed by large kelp frond
first,2023-04-04,Dixon,2W1,2W,1,orange,warm,two,Lauren Dykman,20,15,100,NA,0,overshadowed by large kelp frond
first,2023-04-04,Dixon,C1,Control,1,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,Absent; no wild kelp
first,2023-04-04,Dixon,10C2,10C,2,green,cool,ten,Clay Steell,20,14,13,NA,0,
first,2023-04-04,Dixon,10C2,10C,2,green,cool,ten,Clay Steell,20,14,27,NA,0,
first,2023-04-04,Dixon,10C2,10C,2,green,cool,ten,Clay Steell,20,14,28,NA,0,
first,2023-04-04,Dixon,10C2,10C,2,green,cool,ten,Clay Steell,20,14,56,NA,0,
first,2023-04-04,Dixon,10C2,10C,2,green,cool,ten,Clay Steell,20,14,57,NA,0,
first,2023-04-04,Dixon,10W2,10W,2,red,warm,ten,Clay Steell,19,19,24,NA,0,Lauren counted and Clay measured because were running out of time and got to this one last.
first,2023-04-04,Dixon,10W2,10W,2,red,warm,ten,Clay Steell,19,19,31,NA,0,Lauren counted and Clay measured because were running out of time and got to this one last.
first,2023-04-04,Dixon,10W2,10W,2,red,warm,ten,Clay Steell,19,19,44,NA,0,Lauren counted and Clay measured because were running out of time and got to this one last.
first,2023-04-04,Dixon,10W2,10W,2,red,warm,ten,Clay Steell,19,19,57,NA,0,Lauren counted and Clay measured because were running out of time and got to this one last.
first,2023-04-04,Dixon,10W2,10W,2,red,warm,ten,Clay Steell,19,19,85,NA,0,Lauren counted and Clay measured because were running out of time and got to this one last.
first,2023-04-04,Dixon,2C2,2C,2,blue,cool,two,Siobhan Gray,19,17,44,NA,0,0 bat stars
first,2023-04-04,Dixon,2C2,2C,2,blue,cool,two,Siobhan Gray,19,17,47,NA,0,0 bat stars
first,2023-04-04,Dixon,2C2,2C,2,blue,cool,two,Siobhan Gray,19,17,48,NA,0,0 bat stars
first,2023-04-04,Dixon,2C2,2C,2,blue,cool,two,Siobhan Gray,19,17,51,NA,0,0 bat stars
first,2023-04-04,Dixon,2C2,2C,2,blue,cool,two,Siobhan Gray,19,17,57,NA,0,0 bat stars
first,2023-04-04,Dixon,2W2,2W,2,orange,warm,two,Kristina Tietjen,18,18,39,NA,0,
first,2023-04-04,Dixon,2W2,2W,2,orange,warm,two,Kristina Tietjen,18,18,45,NA,0,
first,2023-04-04,Dixon,2W2,2W,2,orange,warm,two,Kristina Tietjen,18,18,46,NA,0,
first,2023-04-04,Dixon,2W2,2W,2,orange,warm,two,Kristina Tietjen,18,18,57,NA,0,
first,2023-04-04,Dixon,2W2,2W,2,orange,warm,two,Kristina Tietjen,18,18,66,NA,0,
first,2023-04-04,Dixon,C2,Control,2,yellow,NA,NA,Kristina Tietjen,NA,NA,NA,NA,0,"8 juv, 2 adult brown algae"
first,2023-04-04,Dixon,10C3,10C,3,green,cool,ten,Siobhan Gray,17,4,14,NA,0,2 bat stars and 2 Pycnopodia (5 cm)
first,2023-04-04,Dixon,10C3,10C,3,green,cool,ten,Siobhan Gray,17,4,17,NA,0,2 bat stars and 2 Pycnopodia (5 cm)
first,2023-04-04,Dixon,10C3,10C,3,green,cool,ten,Siobhan Gray,17,4,31,NA,0,2 bat stars and 2 Pycnopodia (5 cm)
first,2023-04-04,Dixon,10C3,10C,3,green,cool,ten,Siobhan Gray,17,4,42,NA,0,2 bat stars and 2 Pycnopodia (5 cm)
first,2023-04-04,Dixon,10C3,10C,3,green,cool,ten,Siobhan Gray,17,4,NA,NA,0,2 bat stars and 2 Pycnopodia (5 cm)
first,2023-04-04,Dixon,10W3,10W,3,red,warm,ten,Kristina Tietjen,18,6,2,NA,0,
first,2023-04-04,Dixon,10W3,10W,3,red,warm,ten,Kristina Tietjen,18,6,14,NA,0,
first,2023-04-04,Dixon,10W3,10W,3,red,warm,ten,Kristina Tietjen,18,6,19,NA,0,
first,2023-04-04,Dixon,10W3,10W,3,red,warm,ten,Kristina Tietjen,18,6,28,NA,0,
first,2023-04-04,Dixon,10W3,10W,3,red,warm,ten,Kristina Tietjen,18,6,28,NA,0,
first,2023-04-04,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,14,8,18,NA,0,3 showed signs of dying and kelp fronds covering plot
first,2023-04-04,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,14,8,25,NA,0,3 showed signs of dying and kelp fronds covering plot
first,2023-04-04,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,14,8,35,NA,0,3 showed signs of dying and kelp fronds covering plot
first,2023-04-04,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,14,8,45,NA,0,3 showed signs of dying and kelp fronds covering plot
first,2023-04-04,Dixon,2C3,2C,3,blue,cool,two,Lauren Dykman,14,8,75,NA,0,3 showed signs of dying and kelp fronds covering plot
first,2023-04-04,Dixon,2W3,2W,3,orange,warm,two,Clay Steell,17,4,7,NA,0,macro and agarum smothering
first,2023-04-04,Dixon,2W3,2W,3,orange,warm,two,Clay Steell,17,4,17,NA,0,macro and agarum smothering
first,2023-04-04,Dixon,2W3,2W,3,orange,warm,two,Clay Steell,17,4,18,NA,0,macro and agarum smothering
first,2023-04-04,Dixon,2W3,2W,3,orange,warm,two,Clay Steell,17,4,24,NA,0,macro and agarum smothering
first,2023-04-04,Dixon,2W3,2W,3,orange,warm,two,Clay Steell,17,4,NA,NA,0,macro and agarum smothering
first,2023-04-04,Dixon,C3,Control,3,yellow,NA,NA,Clay Steell,NA,NA,NA,NA,0,0 brown all reds
first,2023-04-04,Dixon,10C4,10C,4,green,cool,ten,Lauren Dykman,15,8,15,NA,0,lots of brown algae growing over and 1 Pycnopodia
first,2023-04-04,Dixon,10C4,10C,4,green,cool,ten,Lauren Dykman,15,8,25,NA,0,lots of brown algae growing over and 1 Pycnopodia
first,2023-04-04,Dixon,10C4,10C,4,green,cool,ten,Lauren Dykman,15,8,35,NA,0,lots of brown algae growing over and 1 Pycnopodia
first,2023-04-04,Dixon,10C4,10C,4,green,cool,ten,Lauren Dykman,15,8,43,NA,0,lots of brown algae growing over and 1 Pycnopodia
first,2023-04-04,Dixon,10C4,10C,4,green,cool,ten,Lauren Dykman,15,8,70,NA,0,lots of brown algae growing over and 1 Pycnopodia
first,2023-04-04,Dixon,10W4,10W,4,red,warm,ten,Clay Steell,19,11,43,NA,0,1 out of plot with no blades
first,2023-04-04,Dixon,10W4,10W,4,red,warm,ten,Clay Steell,19,11,46,NA,0,1 out of plot with no blades
first,2023-04-04,Dixon,10W4,10W,4,red,warm,ten,Clay Steell,19,11,47,NA,0,1 out of plot with no blades
first,2023-04-04,Dixon,10W4,10W,4,red,warm,ten,Clay Steell,19,11,66,NA,0,1 out of plot with no blades
first,2023-04-04,Dixon,10W4,10W,4,red,warm,ten,Clay Steell,19,11,75,NA,0,1 out of plot with no blades
first,2023-04-04,Dixon,2C4,2C,4,blue,cool,two,Kristina Tietjen,15,11,15,NA,0,lots of kelp over plot
first,2023-04-04,Dixon,2C4,2C,4,blue,cool,two,Kristina Tietjen,15,11,29,NA,0,lots of kelp over plot
first,2023-04-04,Dixon,2C4,2C,4,blue,cool,two,Kristina Tietjen,15,11,30,NA,0,lots of kelp over plot
first,2023-04-04,Dixon,2C4,2C,4,blue,cool,two,Kristina Tietjen,15,11,31,NA,0,lots of kelp over plot
first,2023-04-04,Dixon,2C4,2C,4,blue,cool,two,Kristina Tietjen,15,11,34,NA,0,lots of kelp over plot
first,2023-04-04,Dixon,2W4,2W,4,orange,warm,two,Siobhan Gray,17,8,16,NA,0,5 bat stars
first,2023-04-04,Dixon,2W4,2W,4,orange,warm,two,Siobhan Gray,17,8,23,NA,0,5 bat stars
first,2023-04-04,Dixon,2W4,2W,4,orange,warm,two,Siobhan Gray,17,8,41,NA,0,5 bat stars
first,2023-04-04,Dixon,2W4,2W,4,orange,warm,two,Siobhan Gray,17,8,44,NA,0,5 bat stars
first,2023-04-04,Dixon,2W4,2W,4,orange,warm,two,Siobhan Gray,17,8,47,NA,0,5 bat stars
first,2023-04-04,Dixon,C4,Control,4,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,wild kelp present; 3 rocks with brown kelp
first,2023-04-04,Dixon,10C5,10C,5,green,cool,ten,Kristina Tietjen,16,8,8,NA,0,
first,2023-04-04,Dixon,10C5,10C,5,green,cool,ten,Kristina Tietjen,16,8,9,NA,0,
first,2023-04-04,Dixon,10C5,10C,5,green,cool,ten,Kristina Tietjen,16,8,24,NA,0,
first,2023-04-04,Dixon,10C5,10C,5,green,cool,ten,Kristina Tietjen,16,8,26,NA,0,
first,2023-04-04,Dixon,10C5,10C,5,green,cool,ten,Kristina Tietjen,16,8,100,NA,0,kelp on rock being eaten by snail
first,2023-04-04,Dixon,10W5,10W,5,red,warm,ten,Siobhan Gray,18,2,11,NA,0,1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel
first,2023-04-04,Dixon,10W5,10W,5,red,warm,ten,Siobhan Gray,18,2,24,NA,0,1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel
first,2023-04-04,Dixon,10W5,10W,5,red,warm,ten,Siobhan Gray,18,2,NA,NA,0,1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel
first,2023-04-04,Dixon,10W5,10W,5,red,warm,ten,Siobhan Gray,18,2,NA,NA,0,1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel
first,2023-04-04,Dixon,10W5,10W,5,red,warm,ten,Siobhan Gray,18,2,NA,NA,0,1 bag open on top; 2 Pycnopodia; 5 bat stars; 1 bat star eating a green gravel
first,2023-04-04,Dixon,2C5,2C,5,blue,cool,two,Clay Steell,20,8,26,NA,0,
first,2023-04-04,Dixon,2C5,2C,5,blue,cool,two,Clay Steell,20,8,58,NA,0,
first,2023-04-04,Dixon,2C5,2C,5,blue,cool,two,Clay Steell,20,8,73,NA,0,
first,2023-04-04,Dixon,2C5,2C,5,blue,cool,two,Clay Steell,20,8,74,NA,0,
first,2023-04-04,Dixon,2C5,2C,5,blue,cool,two,Clay Steell,20,8,96,NA,0,
first,2023-04-04,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,19,4,16,NA,0,
first,2023-04-04,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,19,4,24,NA,0,
first,2023-04-04,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,19,4,40,NA,0,
first,2023-04-04,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,19,4,50,NA,0,
first,2023-04-04,Dixon,2W5,2W,5,orange,warm,two,Lauren Dykman,19,4,NA,NA,0,
first,2023-04-04,Dixon,C5,Control,5,yellow,NA,NA,Lauren Dykman,NA,NA,NA,NA,0,2 rocks with baby brown algae
first,2023-04-04,Dixon,10C6,10C,6,green,cool,ten,Clay Steell,17,7,35,NA,0,large agarum
first,2023-04-04,Dixon,10C6,10C,6,green,cool,ten,Clay Steell,17,7,37,NA,0,large agarum
first,2023-04-04,Dixon,10C6,10C,6,green,cool,ten,Clay Steell,17,7,40,NA,0,large agarum
first,2023-04-04,Dixon,10C6,10C,6,green,cool,ten,Clay Steell,17,7,56,NA,0,large agarum
first,2023-04-04,Dixon,10C6,10C,6,green,cool,ten,Clay Steell,17,7,59,NA,0,large agarum
first,2023-04-04,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,19,4,17,NA,0,hardly enough to measure
first,2023-04-04,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,19,4,35,NA,0,hardly enough to measure
first,2023-04-04,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,19,4,50,NA,0,hardly enough to measure
first,2023-04-04,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,19,4,60,NA,0,hardly enough to measure; broken off at tip
first,2023-04-04,Dixon,10W6,10W,6,red,warm,ten,Lauren Dykman,19,4,NA,NA,0,hardly enough to measure; measured and was 22mm but this kelp was dead and degraded and it broke off after measuring
first,2023-04-04,Dixon,2C6,2C,6,blue,cool,two,Siobhan Gray,20,17,28,NA,0,0 bat stars
first,2023-04-04,Dixon,2C6,2C,6,blue,cool,two,Siobhan Gray,20,17,41,NA,0,0 bat stars
first,2023-04-04,Dixon,2C6,2C,6,blue,cool,two,Siobhan Gray,20,17,41,NA,0,0 bat stars
first,2023-04-04,Dixon,2C6,2C,6,blue,cool,two,Siobhan Gray,20,17,48,NA,0,0 bat stars
first,2023-04-04,Dixon,2C6,2C,6,blue,cool,two,Siobhan Gray,20,17,76,NA,0,0 bat stars
first,2023-04-04,Dixon,2W6,2W,6,orange,warm,two,Kristina Tietjen,17,6,13,NA,0,
first,2023-04-04,Dixon,2W6,2W,6,orange,warm,two,Kristina Tietjen,17,6,28,NA,0,rock covered in diatoms
first,2023-04-04,Dixon,2W6,2W,6,orange,warm,two,Kristina Tietjen,17,6,31,NA,0,
first,2023-04-04,Dixon,2W6,2W,6,orange,warm,two,Kristina Tietjen,17,6,32,NA,0,
first,2023-04-04,Dixon,2W6,2W,6,orange,warm,two,Kristina Tietjen,17,6,34,NA,0,
first,2023-04-04,Dixon,C6,Control,6,yellow,NA,NA,Kristina Tietjen,NA,NA,NA,NA,0,4 brown algae
first,2023-04-04,Dixon,10C7,10C,7,green,cool,ten,Siobhan Gray,19,13,48,NA,0,1 bat star
first,2023-04-04,Dixon,10C7,10C,7,green,cool,ten,Siobhan Gray,19,13,52,NA,0,1 bat star
first,2023-04-04,Dixon,10C7,10C,7,green,cool,ten,Siobhan Gray,19,13,62,NA,0,1 bat star
first,2023-04-04,Dixon,10C7,10C,7,green,cool,ten,Siobhan Gray,19,13,66,NA,0,1 bat star
first,2023-04-04,Dixon,10C7,10C,7,green,cool,ten,Siobhan Gray,19,13,71,NA,0,1 bat star
first,2023-04-04,Dixon,10W7,10W,7,red,warm,ten,Kristina Tietjen,20,19,16,NA,0,bat star
first,2023-04-04,Dixon,10W7,10W,7,red,warm,ten,Kristina Tietjen,20,19,29,NA,0,bat star
first,2023-04-04,Dixon,10W7,10W,7,red,warm,ten,Kristina Tietjen,20,19,32,NA,0,bat star
first,2023-04-04,Dixon,10W7,10W,7,red,warm,ten,Kristina Tietjen,20,19,32,NA,0,bat star
first,2023-04-04,Dixon,10W7,10W,7,red,warm,ten,Kristina Tietjen,20,19,49,NA,0,bat star
first,2023-04-04,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,16,7,34,NA,0,
first,2023-04-04,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,16,7,45,NA,0,
first,2023-04-04,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,16,7,55,NA,0,
first,2023-04-04,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,16,7,65,NA,0,
first,2023-04-04,Dixon,2C7,2C,7,blue,cool,two,Lauren Dykman,16,7,67,NA,0,
first,2023-04-04,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,19,2,24,NA,0,
first,2023-04-04,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,19,2,34,NA,0,
first,2023-04-04,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,19,2,NA,NA,0,
first,2023-04-04,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,19,2,NA,NA,0,
first,2023-04-04,Dixon,2W7,2W,7,orange,warm,two,Clay Steell,19,2,NA,NA,0,
first,2023-04-04,Dixon,C7,Control,7,yellow,NA,NA,Clay Steell,NA,NA,NA,NA,0,0 brown algae; large log
first,2023-04-04,Dixon,10C8,10C,8,green,cool,ten,Lauren Dykman,16,12,50,NA,0,
first,2023-04-04,Dixon,10C8,10C,8,green,cool,ten,Lauren Dykman,16,12,76,NA,0,
first,2023-04-04,Dixon,10C8,10C,8,green,cool,ten,Lauren Dykman,16,12,80,NA,0,
first,2023-04-04,Dixon,10C8,10C,8,green,cool,ten,Lauren Dykman,16,12,104,NA,0,
first,2023-04-04,Dixon,10C8,10C,8,green,cool,ten,Lauren Dykman,16,12,105,NA,0,
first,2023-04-04,Dixon,10W8,10W,8,red,warm,ten,Clay Steell,19,4,8,NA,0,
first,2023-04-04,Dixon,10W8,10W,8,red,warm,ten,Clay Steell,19,4,12,NA,0,
first,2023-04-04,Dixon,10W8,10W,8,red,warm,ten,Clay Steell,19,4,26,NA,0,
first,2023-04-04,Dixon,10W8,10W,8,red,warm,ten,Clay Steell,19,4,45,NA,0,
first,2023-04-04,Dixon,10W8,10W,8,red,warm,ten,Clay Steell,19,4,NA,NA,0,
first,2023-04-04,Dixon,2C8,2C,8,blue,cool,two,Kristina Tietjen,20,17,46,NA,0,
first,2023-04-04,Dixon,2C8,2C,8,blue,cool,two,Kristina Tietjen,20,17,65,NA,0,
first,2023-04-04,Dixon,2C8,2C,8,blue,cool,two,Kristina Tietjen,20,17,68,NA,0,
first,2023-04-04,Dixon,2C8,2C,8,blue,cool,two,Kristina Tietjen,20,17,71,NA,0,
first,2023-04-04,Dixon,2C8,2C,8,blue,cool,two,Kristina Tietjen,20,17,75,NA,0,
first,2023-04-04,Dixon,2W8,2W,8,orange,warm,two,Siobhan Gray,20,19,66,NA,0,1 bat star
first,2023-04-04,Dixon,2W8,2W,8,orange,warm,two,Siobhan Gray,20,19,68,NA,0,1 bat star
first,2023-04-04,Dixon,2W8,2W,8,orange,warm,two,Siobhan Gray,20,19,73,NA,0,1 bat star
first,2023-04-04,Dixon,2W8,2W,8,orange,warm,two,Siobhan Gray,20,19,86,NA,0,1 bat star
first,2023-04-04,Dixon,2W8,2W,8,orange,warm,two,Siobhan Gray,20,19,99,NA,0,1 bat star
first,2023-04-04,Dixon,C8,Control,8,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,Present; 1 rock with kelp
first,2023-04-03,Ed King,10C1,10C,1,green,cool,ten,Siobhan Gray,17,10,31,NA,0,
first,2023-04-03,Ed King,10C1,10C,1,green,cool,ten,Siobhan Gray,17,10,52,NA,0,
first,2023-04-03,Ed King,10C1,10C,1,green,cool,ten,Siobhan Gray,17,10,54,NA,0,
first,2023-04-03,Ed King,10C1,10C,1,green,cool,ten,Siobhan Gray,17,10,63,NA,0,
first,2023-04-03,Ed King,10C1,10C,1,green,cool,ten,Siobhan Gray,17,10,75,NA,0,
first,2023-04-03,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,17,12,21,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,17,12,25,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,17,12,25,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,17,12,30,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,10W1,10W,1,red,warm,ten,Lauren Dykman,17,12,46,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2C1,2C,1,blue,cool,two,Clay Steell,19,9,32,NA,0,1 gravel outside plot
first,2023-04-03,Ed King,2C1,2C,1,blue,cool,two,Clay Steell,19,9,34,NA,0,1 gravel outside plot
first,2023-04-03,Ed King,2C1,2C,1,blue,cool,two,Clay Steell,19,9,35,NA,0,1 gravel outside plot
first,2023-04-03,Ed King,2C1,2C,1,blue,cool,two,Clay Steell,19,9,50,NA,0,1 gravel outside plot
first,2023-04-03,Ed King,2C1,2C,1,blue,cool,two,Clay Steell,19,9,80,NA,0,1 gravel outside plot
first,2023-04-03,Ed King,2W1,2W,1,orange,warm,two,Kristina Tietjen,13,12,75,NA,0,3 gravels seen outside plot
first,2023-04-03,Ed King,2W1,2W,1,orange,warm,two,Kristina Tietjen,13,12,95,NA,0,3 gravels seen outside plot
first,2023-04-03,Ed King,2W1,2W,1,orange,warm,two,Kristina Tietjen,13,12,146,NA,0,3 gravels seen outside plot
first,2023-04-03,Ed King,2W1,2W,1,orange,warm,two,Kristina Tietjen,13,12,150,NA,0,3 gravels seen outside plot
first,2023-04-03,Ed King,2W1,2W,1,orange,warm,two,Kristina Tietjen,13,12,198,NA,0,3 gravels seen outside plot
first,2023-04-03,Ed King,C1,Control,1,yellow,NA,NA,Kristina Tietjen,NA,NA,NA,NA,0,~11 brown algae seen in plot
first,2023-04-03,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,18,18,55,NA,0,1 Pisaster and 1 Pycnopodia in plot
first,2023-04-03,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,18,18,60,NA,0,1 Pisaster and 1 Pycnopodia in plot
first,2023-04-03,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,18,18,60,NA,0,1 Pisaster and 1 Pycnopodia in plot
first,2023-04-03,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,18,18,65,NA,0,1 Pisaster and 1 Pycnopodia in plot
first,2023-04-03,Ed King,10C2,10C,2,green,cool,ten,Lauren Dykman,18,18,85,NA,0,1 Pisaster and 1 Pycnopodia in plot
first,2023-04-03,Ed King,10W2,10W,2,red,warm,ten,Kristina Tietjen,20,20,45,NA,0,
first,2023-04-03,Ed King,10W2,10W,2,red,warm,ten,Kristina Tietjen,20,20,47,NA,0,
first,2023-04-03,Ed King,10W2,10W,2,red,warm,ten,Kristina Tietjen,20,20,48,NA,0,
first,2023-04-03,Ed King,10W2,10W,2,red,warm,ten,Kristina Tietjen,20,20,49,NA,0,
first,2023-04-03,Ed King,10W2,10W,2,red,warm,ten,Kristina Tietjen,20,20,77,NA,0,
first,2023-04-03,Ed King,2C2,2C,2,blue,cool,two,Siobhan Gray,20,18,69,NA,0,
first,2023-04-03,Ed King,2C2,2C,2,blue,cool,two,Siobhan Gray,20,18,82,NA,0,
first,2023-04-03,Ed King,2C2,2C,2,blue,cool,two,Siobhan Gray,20,18,83,NA,0,
first,2023-04-03,Ed King,2C2,2C,2,blue,cool,two,Siobhan Gray,20,18,98,NA,0,
first,2023-04-03,Ed King,2C2,2C,2,blue,cool,two,Siobhan Gray,20,18,107,NA,0,
first,2023-04-03,Ed King,2W2,2W,2,orange,warm,two,Clay Steell,16,16,33,NA,0,1 gravel outside of plot and it is growing
first,2023-04-03,Ed King,2W2,2W,2,orange,warm,two,Clay Steell,16,16,34,NA,0,1 gravel outside of plot and it is growing
first,2023-04-03,Ed King,2W2,2W,2,orange,warm,two,Clay Steell,16,16,44,NA,0,1 gravel outside of plot and it is growing
first,2023-04-03,Ed King,2W2,2W,2,orange,warm,two,Clay Steell,16,16,50,NA,0,1 gravel outside of plot and it is growing
first,2023-04-03,Ed King,2W2,2W,2,orange,warm,two,Clay Steell,16,16,53,NA,0,1 gravel outside of plot and it is growing
first,2023-04-03,Ed King,C2,Control,2,yellow,NA,NA,Clay Steell,NA,NA,NA,NA,0,7 brown algae blades seen
first,2023-04-03,Ed King,10C3,10C,3,green,cool,ten,Kristina Tietjen,18,18,81,NA,0,
first,2023-04-03,Ed King,10C3,10C,3,green,cool,ten,Kristina Tietjen,18,18,88,NA,0,
first,2023-04-03,Ed King,10C3,10C,3,green,cool,ten,Kristina Tietjen,18,18,91,NA,0,
first,2023-04-03,Ed King,10C3,10C,3,green,cool,ten,Kristina Tietjen,18,18,99,NA,0,
first,2023-04-03,Ed King,10C3,10C,3,green,cool,ten,Kristina Tietjen,18,18,106,NA,0,
first,2023-04-03,Ed King,10W3,10W,3,red,warm,ten,Clay Steell,18,16,44,NA,0,
first,2023-04-03,Ed King,10W3,10W,3,red,warm,ten,Clay Steell,18,16,52,NA,0,
first,2023-04-03,Ed King,10W3,10W,3,red,warm,ten,Clay Steell,18,16,53,NA,0,
first,2023-04-03,Ed King,10W3,10W,3,red,warm,ten,Clay Steell,18,16,63,NA,0,
first,2023-04-03,Ed King,10W3,10W,3,red,warm,ten,Clay Steell,18,16,83,NA,0,
first,2023-04-03,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,16,15,58,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,16,15,60,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,16,15,70,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,16,15,70,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2C3,2C,3,blue,cool,two,Lauren Dykman,16,15,75,NA,0,1 Pisaster in plot
first,2023-04-03,Ed King,2W3,2W,3,orange,warm,two,Siobhan Gray,16,14,62,NA,0,
first,2023-04-03,Ed King,2W3,2W,3,orange,warm,two,Siobhan Gray,16,14,64,NA,0,
first,2023-04-03,Ed King,2W3,2W,3,orange,warm,two,Siobhan Gray,16,14,77,NA,0,
first,2023-04-03,Ed King,2W3,2W,3,orange,warm,two,Siobhan Gray,16,14,84,NA,0,
first,2023-04-03,Ed King,2W3,2W,3,orange,warm,two,Siobhan Gray,16,14,86,NA,0,
first,2023-04-03,Ed King,C3,Control,3,yellow,NA,NA,Siobhan Gray,NA,NA,NA,NA,0,Brown algae present; 26 rocks with kelp
first,2023-04-03,Ed King,10C4,10C,4,green,cool,ten,Clay Steell,17,16,35,NA,0,big natural settler (~100mm)
first,2023-04-03,Ed King,10C4,10C,4,green,cool,ten,Clay Steell,17,16,40,NA,0,big natural settler (~100mm)
