Cruise_Number,Sample Description,site,date,depth,Sample_Number,Nitrate_plus_Nitrite,Flag:Nitrate_plus_Nitrite,Silicate,Flag:Silicate,Phosphate,Flag:Phosphate,Comments
BAUM LAB,ED KING BOTTOM #1 29JUN2023,Ed King,June,bottom,33,2.92,3,14.10,3,0.772,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING TOP #3 29JUN2023,Ed King,June,top,8,0.00,3,4.19,3,0.264,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING TOP #129JUN2023,Ed King,June,top,17,0.00,3,2.09,3,0.177,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING TOP #2 19JUN2023,Ed King,June,top,18,0.00,3,3.78,3,0.253,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DIXON 1 9MAR2023,Dixon,March,bottom,40,9.10,3,17.48,3,0.957,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DIXON 3 9MAR2023,Dixon,March,bottom,52,9.14,3,16.65,3,0.960,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DIXON 2 9MAR2023,Dixon,March,bottom,54,8.23,3,16.71,3,0.963,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING 2 7MAR2023,Ed King,March,bottom,42,7.95,3,14.79,3,0.766,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING 1 7MAR2023,Ed King,March,bottom,43,9.94,3,18.67,3,1.009,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,ED KING 3 7MAR2023,Ed King,March,bottom,49,10.04,3,18.82,3,1.035,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DX BOTTOM 2 17MAY2023,Dixon,May,bottom,24,0.00,3,1.07,3,0.114,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DX BOTTOM 3 17MAY2023,Dixon,May,bottom,28,0.00,3,1.86,3,0.125,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DX BOTTOM 1 17MAY2023,Dixon,May,bottom,29,0.00,3,1.77,3,0.112,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DX TOP 3 17MAY2023,Dixon,May,top,10,0.00,3,2.30,3,0.047,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DX TOP 2 17MAY2023,Dixon,May,top,14,0.00,3,1.97,3,0.054,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,DIXON TOP 1 17MAY2023,Dixon,May,top,20,0.00,3,1.77,3,0.041,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK BOTTOM 2 18MAY2023,Ed King,May,bottom,27,1.24,3,5.04,3,0.338,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK BOTTOM 1 18MAY2023,Ed King,May,bottom,30,2.29,3,9.15,3,0.460,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK BOTTOM 3 18MAY2023,Ed King,May,bottom,39,2.36,3,8.19,3,0.474,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK TOP 2 18MAY2023,Ed King,May,top,25,0.12,3,4.44,3,0.254,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK TOP 1 18MAY2023,Ed King,May,top,34,0.15,3,4.69,3,0.262,3,NUTS:  Samples stored frozen > 3 months
BAUM LAB,EK TOP 3 18MAY2023,Ed King,May,top,37,0.18,3,4.68,3,0.229,3,NUTS:  Samples stored frozen > 3 months
